Start Time:  04-08-2025 14:10:36          Time Completed:  04-08-2025 15:00:46      Elapsed Time:  00:50:09
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\C4.txt
Plot File:     C:\IDEASVSM\LS_QC\C4.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\C4.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.0117808 	
 18000 	 0.0118224 	
 17000 	 0.0118472 	
 16000 	 0.0118628 	
 15000 	 0.0118638 	
 14000 	 0.0118595 	
 13000 	 0.0118528 	
 12000 	 0.0118466 	
 11000 	 0.0118383 	
 10000 	 0.0118208 	
 9000 	 0.011799 	
 8000.01 	 0.0117715 	
 7000.01 	 0.0117347 	
 6000 	 0.0116803 	
 4999.98 	 0.0116059 	
 4000.01 	 0.0114631 	
 3000.09 	 0.0112242 	
 1999.99 	 0.0107803 	
 999.991 	 0.00957039 	
 949.992 	 0.00942381 	
 900.002 	 0.0092775 	
 850.009 	 0.00912346 	
 799.994 	 0.00895463 	
 749.999 	 0.00876921 	
 699.985 	 0.00855921 	
 649.997 	 0.00832278 	
 600.002 	 0.00805384 	
 549.985 	 0.00774755 	
 499.999 	 0.00739655 	
 450 	 0.00699432 	
 400.001 	 0.00652905 	
 349.994 	 0.00598705 	
 299.996 	 0.00538138 	
 249.991 	 0.00468982 	
 199.997 	 0.00387473 	
 190.002 	 0.00370943 	
 180.007 	 0.00353879 	
 170.003 	 0.00331987 	
 159.991 	 0.00317586 	
 149.999 	 0.00301785 	
 140.004 	 0.00285358 	
 130.009 	 0.00268918 	
 120.002 	 0.00252573 	
 109.994 	 0.0023633 	
 99.9935 	 0.002205 	
 89.9934 	 0.00205178 	
 79.9959 	 0.00190327 	
 70.008 	 0.0017617 	
 60.0038 	 0.00162521 	
 49.9903 	 0.00149361 	
 40.0049 	 0.00136645 	
 29.9883 	 0.00124175 	
 19.9985 	 0.00111276 	
 17.9988 	 0.0010734 	
 16.0004 	 0.00103762 	
 13.9994 	 0.0010018 	
 12.0035 	 0.000964006 	
 9.98632 	 0.000920428 	
 7.99128 	 0.000867916 	
 5.99422 	 0.000796839 	
 4.00508 	 0.000693693 	
 1.99849 	 0.000517652 	
-0.00798475 	 0.0000853605 	
-2.00358 	-0.000441131 	
-4.00787 	-0.000635145 	
-5.99879 	-0.000736617 	
-8.01271 	-0.000804224 	
-10.0022 	-0.000853106 	
-11.992 	-0.000891411 	
-13.9939 	-0.000922638 	
-16.0024 	-0.00095012 	
-18.0096 	-0.000973907 	
-20.0002 	-0.000996154 	
-30.0057 	-0.00108945 	
-40.005 	-0.00117463 	
-49.9933 	-0.00125811 	
-60.0033 	-0.00134293 	
-70.0056 	-0.00142888 	
-80.012 	-0.00151786 	
-90.0019 	-0.00160935 	
-100.015 	-0.00170678 	
-110.004 	-0.00180829 	
-119.999 	-0.00191592 	
-130.003 	-0.00202828 	
-139.996 	-0.00214775 	
-149.991 	-0.00227283 	
-160.003 	-0.00240512 	
-169.999 	-0.00254248 	
-180.007 	-0.00268665 	
-189.994 	-0.002835 	
-199.999 	-0.0029878 	
-250.006 	-0.00381661 	
-299.998 	-0.00455565 	
-350.003 	-0.00531778 	
-400.008 	-0.00592485 	
-450.005 	-0.00648434 	
-500.005 	-0.00696792 	
-549.993 	-0.00738142 	
-599.999 	-0.0077371 	
-649.998 	-0.0080376 	
-699.995 	-0.0083324 	
